"CrossingID","Latitude","Longitude"
"174010L",41.89114,-87.863954
"174983M",41.882634,-88.264126
"689655V",42.0313,-87.892623
"689657J",42.0362347,-87.8939995
"689739R",42.446511,-88.089994
"608828L",41.67,-87.67361
"608829T",41.67638,-87.6725
"608835W",41.695516,-87.670195
"608837K",41.702906,-87.669297
"608838S",41.7066,-87.668848
"608841A",41.7139,-87.667324
"608845C",41.725652,-87.667298
"608920L",41.732324,-87.650811
"608939D",41.64062,-87.694864
"689659X",42.040413,-87.895498
"689712G",42.313999,-88.0141737
"861283B",42.029402,-87.748296
"861284H",42.026269,-87.747297
"861285P",42.0225,-87.73805
"861287D",42.0225,-87.72694
"863924M",42.07111,-87.69
"176952V",42.154229,-88.134811
"689726P",42.357082,-88.048199
"609012G",41.7175,-87.65166
"933202A",42.208812,-88.491611
"933200L",42.230352,-88.530695
"929089C",41.725591,-88.348172
"925099U",41.557546,-87.82547
"870460C",41.670285,-87.603174
"867226H",41.643322,-87.539818
"864006C",41.96583,-87.69416
"864005V",41.96638,-87.70055
"864004N",41.96611,-87.70361
"864003G",41.96583,-87.70555
"864002A",41.96611,-87.70833
"864001T",41.96611,-87.71111
"863925U",42.06944,-87.68888
"863849D",41.887552,-87.639959
"861286W",42.02277,-87.72805
"861281M",42.03361,-87.74916
"861280F",42.035275,-87.750362
"850129X",41.853776,-87.732137
"850128R",41.853743,-87.734578
"850127J",41.852326,-87.736976
"850126C",41.851992,-87.741849
"850125V",41.851954,-87.743081
"850124N",41.851908,-87.746753
"850123G",41.85193,-87.744274
"850122A",41.851905,-87.749191
"850121T",41.851878,-87.754105
"850120L",41.851814,-87.759014
"694918S",42.10244,-87.912244
"694865V",42.171185,-87.942366
"693744U",42.3831133,-88.0644845
"689751X",42.489691,-88.095256
"689750R",42.488114,-88.094167
"689746B",42.4795779,-88.0918664
"689745U",42.4757534,-88.0911608
"689743F",42.470725,-88.090963
"689742Y",42.4653472,-88.0907414
"689740K",42.4564247,-88.0903889
"689738J",42.4388269,-88.0884342
"689735N",42.4181192,-88.0795164
"689733A",42.4154879,-88.0783899
"689731L",42.3960576,-88.0700269
"689728D",42.379782,-88.063008
"689727W",42.3716164,-88.0595486
"689725H",42.351205,-88.043745
"689720Y",42.3443343,-88.0383512
"689719E",42.336608,-88.03224
"689718X",42.33265,-88.029038
"689710T",42.306067,-88.007919
"689709Y",42.297766,-88.00495
"689707K",42.284318,-88.004251
"689705W",42.273496,-88.0025452
"689704P",42.2714246,-88.0012537
"689703H",42.2695979,-87.9998843
"689701U",42.2551651,-87.9890907
"689699V",42.2405487,-87.9781184
"689698N",42.2387478,-87.976893
"689697G",42.220932,-87.967576
"689694L",42.204471,-87.959019
"689693E",42.195732,-87.954474
"689692X",42.1826897,-87.9476823
"689689P",42.1393137,-87.9284059
"689688H",42.1242571,-87.9217512
"689683Y",42.0951737,-87.909136
"689682S",42.094145,-87.908689
"689681K",42.0878694,-87.9059183
"689680D",42.0806093,-87.9027339
"689678C",42.0660738,-87.9006682
"689677V",42.05545,-87.900669
"689676N",42.0540549,-87.9002533
"689675G",42.0528581,-87.8998325
"689660S",42.0432382,-87.8964843
"689658R",42.038507,-87.894845
"689656C",42.034362,-87.893485
"689654N",42.0240634,-87.8905697
"689653G",42.018638,-87.888765
"689652A",42.015718,-87.887737
"689651T",42.009638,-87.885563
"689649S",42.0024339,-87.8829913
"689638E",41.936907,-87.859773
"609011A",41.721364,-87.65028
"608963E",41.527097,-87.895773
"608962X",41.529881,-87.889339
"608961R",41.531265,-87.886177
"608960J",41.534072,-87.879689
"608958H",41.542849,-87.859446
"608953Y",41.563229,-87.812411
"608951K",41.575327,-87.784359
"608950D",41.576864,-87.780787
"608946N",41.588302,-87.757982
"608945G",41.590332,-87.755558
"608942L",41.621806,-87.717529
"608941E",41.625626,-87.712915
"608918K",41.732289,-87.653227
"608917D",41.732254,-87.655661
"608855H",41.732219,-87.658091
"608854B",41.732185,-87.660516
"608853U",41.73194,-87.66277
"608852M",41.731188,-87.665369
"608851F",41.73027,-87.66638
"608848X",41.728424,-87.66715
"608847R",41.65444,-87.67805
"608846J",41.65527,-87.67722
"608844V",41.722988,-87.667426
"608843N",41.721143,-87.667524
"608842G",41.719344,-87.667475
"608840T",41.49868,-87.88143
"608839Y",41.710238,-87.668284
"608836D",41.699252,-87.669741
"608834P",41.693399,-87.670451
"608833H",41.691938,-87.67062
"608832B",41.687894,-87.671112
"608831U",41.684635,-87.671513
"608830M",41.677345,-87.672397
"608311K",41.677452,-87.666617
"608310D",41.684792,-87.663827
"608309J",41.689307,-87.66218
"608308C",41.692137,-87.661132
"608307V",41.699441,-87.658409
"608306N",41.703126,-87.657057
"608305G",41.704959,-87.656354
"608304A",41.706796,-87.65568
"608303T",41.708137,-87.655184
"608302L",41.714093,-87.652979
"608205C",41.524014,-88.004816
"608203N",41.520125,-87.989988
"608202G",41.516333,-87.975024
"608201A",41.51451,-87.966429
"523004X",41.856623,-87.637003
"522440H",41.888413,-87.656883
"478906E",41.42361,-87.98666
"478905X",41.42472,-87.98611
"478904R",41.433533,-87.982396
"478903J",41.439323,-87.979878
"478901V",41.454032,-87.968889
"478899W",41.46444,-87.96416
"478898P",41.468645,-87.962594
"478794H",41.483169,-87.959941
"478791M",41.504913,-87.962573
"478789L",41.523268,-87.945318
"478787X",41.532152,-87.938613
"478786R",41.539714,-87.934851
"478785J",41.548808,-87.928321
"478783V",41.564141,-87.901888
"478782N",41.572085,-87.890639
"478781G",41.58625,-87.884043
"478780A",41.592752,-87.881577
"478779F",41.600952,-87.876548
"478778Y",41.611911,-87.873148
"478776K",41.627167,-87.86334
"478774W",41.630371,-87.859868
"478772H",41.645197,-87.843821
"478770U",41.659113,-87.83012
"478763J",41.697485,-87.78816
"478761V",41.704236,-87.779375
"478760N",41.714976,-87.760119
"478759U",41.716864,-87.755418
"478757F",41.718828,-87.750522
"478756Y",41.719958,-87.74769
"478755S",41.722685,-87.740867
"478754K",41.725668,-87.733717
"478753D",41.72916,-87.72861
"478752W",41.734894,-87.721372
"478751P",41.74083,-87.71416
"478750H",41.741409,-87.71305
"388067F",42.42888,-87.92833
"388065S",42.46527,-87.93138
"388063D",42.490505,-87.919456
"388059N",42.29083,-87.89972
"388058G",42.27972,-87.89722
"388054E",42.225512,-87.875481
"388052R",42.221902,-87.873728
"388050C",42.210995,-87.868507
"388049H",42.200022,-87.863265
"388047U",42.174575,-87.852093
"388044Y",42.170949,-87.850821
"388040W",42.164757,-87.848621
"388037N",42.138254,-87.832676
"386456E",42.40111,-88.18388
"386455X",42.397071,-88.18198
"386453J",42.39241,-88.177791
"386450N",42.384228,-88.155873
"386448M",42.373875,-88.139873
"386446Y",42.368018,-88.128504
"386445S",42.363655,-88.111634
"386442W",42.357275,-88.099422
"386441P",42.354343,-88.093379
"386440H",42.350131,-88.084168
"386439N",42.344573,-88.072028
"386436T",42.337299,-88.053411
"386434E",42.333709,-88.043727
"386432R",42.328265,-88.029
"386430C",42.319947,-88.013478
"386425F",42.301474,-87.983621
"386422K",42.290748,-87.954931
"386417N",42.127951,-87.828227
"386413L",42.116473,-87.823517
"372246Y",42.05833,-88.31555
"372242W",42.041498,-88.290444
"372241P",42.037442,-88.287293
"372240H",42.036679,-88.286713
"372239N",42.029342,-88.280174
"372235L",42.015575,-88.273192
"372217N",42.01222,-88.26944
"372214T",42.00861,-88.24666
"372212E",42.00277,-88.23277
"372210R",42.000333,-88.218123
"372207H",41.992832,-88.188813
"372206B",41.992442,-88.18555
"372202Y",41.989537,-88.109885
"372196X",41.98415,-88.080263
"372195R",41.983636,-88.077706
"372194J",41.983314,-88.076072
"372191N",41.978354,-88.051455
"372184D",41.97472,-88.03166
"372182P",41.972563,-88.019798
"372180B",41.971443,-88.013084
"372179G",41.969674,-87.998192
"372178A",41.963739,-87.978856
"372177T",41.963186,-87.977221
"372176L",41.960712,-87.966188
"372174X",41.958139,-87.949226
"372172J",41.957128,-87.942564
"372171C",41.956899,-87.941078
"372170V",41.956676,-87.939603
"372141K",41.939007,-87.875336
"372140D",41.937608,-87.870411
"372139J",41.93688,-87.867947
"372138C",41.93615,-87.865475
"372137V",41.935426,-87.863041
"372136N",41.93346,-87.851412
"372135G",41.933307,-87.849108
"372133T",41.930803,-87.835827
"372131E",41.925994,-87.818677
"372128W",41.924703,-87.813627
"372127P",41.923889,-87.809192
"372126H",41.923337,-87.806216
"372125B",41.92283,-87.804382
"372124U",41.922178,-87.802507
"372123M",41.921513,-87.800685
"372121Y",41.919494,-87.795121
"372101M",41.916411,-87.785212
"372057C",41.888156,-87.648696
"371997M",41.991061,-88.174104
"289759X",41.533414,-88.079027
"289756C",41.5823718,-88.0617864
"289755V",41.585445,-88.060181
"289754N",41.587507,-88.05921
"289753G",41.5885198,-88.0587841
"289752A",41.589587,-88.058236
"289750L",41.59269,-88.056774
"289749S",41.596781,-88.054851
"289744H",41.64097,-88.048974
"289738E",41.672429,-88.011504
"289736R",41.674235,-88.000206
"289735J",41.674674,-87.998669
"289734C",41.675492,-87.996167
"289733V",41.676772,-87.991815
"289680Y",41.456325,-87.724762
"289625Y",41.658908,-87.672783
"289624S",41.659168,-87.672468
"289623K",41.660054,-87.671443
"289622D",41.660852,-87.670503
"289621W",41.661868,-87.669342
"289620P",41.662826,-87.668224
"289619V",41.63055,-87.66666
"289618N",41.664697,-87.666075
"289617G",41.664909,-87.665826
"289615T",41.66916,-87.66083
"289614L",41.674134,-87.644221
"289613E",41.674166,-87.64179
"289612X",41.674208,-87.640613
"289611R",41.674222,-87.639389
"289609P",41.674254,-87.636989
"289608H",41.674262,-87.635791
"289607B",41.674274,-87.63459
"289605M",41.674304,-87.63218
"289604F",41.674316,-87.630964
"289603Y",41.674329,-87.629775
"289602S",41.674344,-87.628564
"289601K",41.674369,-87.627356
"289600D",41.674384,-87.624945
"289599L",41.674414,-87.62254
"289598E",41.674442,-87.620401
"289570N",41.728296,-87.547803
"289569U",41.730102,-87.54787
"289568M",41.731936,-87.547935
"289567F",41.73744,-87.548136
"289566Y",41.743476,-87.551553
"289565S",41.744663,-87.551542
"289564K",41.746466,-87.551586
"289563D",41.748296,-87.551621
"289562W",41.74921,-87.551638
"289561P",41.750108,-87.551663
"289560H",41.751936,-87.552443
"289559N",41.753695,-87.554346
"289558G",41.755485,-87.556291
"289557A",41.757278,-87.558221
"289556T",41.75833,-87.56027
"289554E",41.758686,-87.595399
"289553X",41.760902,-87.561797
"289552R",41.762686,-87.563403
"289551J",41.764493,-87.56504
"289550C",41.765995,-87.56651
"289549H",41.766242,-87.568158
"289548B",41.766226,-87.569759
"289547U",41.766197,-87.571393
"289546M",41.766202,-87.57261
"289545F",41.766182,-87.573851
"289544Y",41.766162,-87.57508
"289543S",41.766157,-87.576301
"289541D",41.766127,-87.579363
"289540W",41.76611,-87.581218
"289539C",41.76609,-87.582431
"289538V",41.76608,-87.583662
"289537N",41.766074,-87.584788
"289536G",41.766068,-87.585941
"289534T",41.76604,-87.589423
"289533L",41.766104,-87.590012
"289531X",41.766554,-87.590991
"289529W",41.767824,-87.592337
"288917S",41.310178,-87.802407
"288916K",41.324814,-87.794612
"288914W",41.332124,-87.790792
"288913P",41.333286,-87.790178
"288911B",41.335522,-87.78899
"288910U",41.342625,-87.785219
"288909A",41.354035,-87.779157
"283194N",41.550521,-87.529677
"283193G",41.554657,-87.539317
"283191T",41.557529,-87.545936
"283190L",41.563036,-87.558751
"283189S",41.564754,-87.56277
"283188K",41.569559,-87.573913
